ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_type,interval_duration,start_time,end_time,target_id,maneuver_index
2025-06-08T07:47:31.260Z,1749368851.26,233.9,47.1,47.1,47.1,43.5206614,43.520660288,43.520663996,43.520667704,103.3,5.4,2.9,6407.92,4.1064061,4.106403996,4.106411009,4.106418022,2.5,33.334,8.3,20.9,1749376051260.998,1749368851260.998,111.6,0.8,68.004,68.004,301.904,9.4,7.828,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.359Z,1749368851.359,234.0,43.9,43.9,43.9,43.5206555,43.52065439,43.520658089,43.520661789,108.003,5.6,3.1,6409.037,4.1063949,4.106392794,4.106399815,4.106406837,2.5,1.02,8.7,21.1,1749376051359.0,1749368851359.0,113.348,-3.0,67.944,67.944,301.944,9.4,7.923,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.460Z,1749368851.46,233.8,51.7,51.7,51.7,43.5206499,43.520648785,43.520652502,43.520656219,112.897,3.8,2.7,6410.141,4.1063836,4.106381499,4.106388503,4.106395506,2.5,-1.961,6.5,21.3,1749376051460.998,1749368851460.998,115.168,-1.1,68.184,68.184,301.984,9.4,7.916,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.559Z,1749368851.559,236.0,49.8,49.8,49.8,43.5206445,43.520643444,43.520646963,43.520650483,117.6,2.9,2.601,6411.212,4.1063726,4.106370441,4.106377637,4.106384832,2.5,22.449,5.857,21.3,1749376051559.0,1749368851559.0,116.916,-2.9,66.024,66.024,302.024,9.4,8.655,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.658Z,1749368851.658,236.3,56.5,56.5,56.5,43.5206391,43.520638052,43.520641544,43.520645036,113.5,2.7,2.5,6412.271,4.1063618,4.106359634,4.106366854,4.106374075,2.5,3.0,5.2,21.3,1749376051658.999,1749368851658.999,118.7,0.3,65.764,65.764,302.064,9.4,8.744,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.757Z,1749368851.757,235.1,48.9,48.9,48.9,43.520634,43.52063292,43.520636521,43.520640121,104.8,2.551,2.5,6413.31,4.106351,4.106348865,4.106355983,4.106363101,2.5,-12.121,4.937,21.3,1749376051757.998,1749368851757.998,113.503,3.7,67.003,67.003,302.103,9.4,8.321,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.859Z,1749368851.859,237.0,45.7,45.7,45.7,43.5206285,43.520627472,43.520630899,43.520634327,100.5,2.4,2.35,6414.414,4.1063396,4.106337416,4.106344695,4.106351974,2.5,18.811,4.668,21.3,1749376051859.0,1749368851859.0,108.202,2.7,65.144,65.144,302.144,9.4,8.953,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:31.960Z,1749368851.96,236.5,42.2,42.2,42.2,43.5206227,43.520621658,43.520625132,43.520628605,98.5,2.2,2.2,6415.524,4.1063284,4.106326229,4.106333466,4.106340704,2.5,-4.95,4.4,21.3,1749376051960.0,1749368851960.0,102.9,1.5,65.684,65.684,302.184,9.4,8.771,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.051Z,1749368852.051,234.7,40.2,40.2,40.2,43.5206177,43.520616609,43.520620246,43.520623882,100.6,2.7,2.9,6416.641,4.1063164,4.106314275,4.106321358,4.106328442,2.5,-19.78,5.6,21.3,1749376052051.0,1749368852051.0,106.2,1.5,67.515,67.515,302.215,9.405,8.146,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.163Z,1749368852.163,240.5,41.2,41.2,41.2,43.5206132,43.52061227,43.520615369,43.520618468,102.7,2.7,2.952,6417.708,4.1063047,4.106302434,4.106309988,4.106317542,2.5,51.786,5.548,21.4,1749376052163.0,1749368852163.0,106.929,0.5,61.749,61.749,302.249,9.416,10.129,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.266Z,1749368852.266,242.4,39.4,39.4,39.4,43.5206089,43.520608025,43.520610941,43.520613857,102.1,2.5,3.0,6418.759,4.1062931,4.106290793,4.106298484,4.106306176,2.5,18.447,5.5,21.2,1749376052266.0,1749368852266.0,107.6,4.0,59.88,59.88,302.28,9.427,10.638,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.360Z,1749368852.36,242.9,42.3,42.3,42.3,43.5206046,43.52060374,43.520606607,43.520609474,98.6,1.5,3.0,6419.839,4.1062811,4.106278782,4.106286508,4.106294235,2.5,5.319,4.5,21.0,1749376052360.0,1749368852360.0,103.1,2.7,59.408,59.408,302.308,9.436,10.687,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.457Z,1749368852.457,243.8,48.7,48.7,48.7,43.5206002,43.520599366,43.520602145,43.520604924,89.9,1.5,2.7,6420.909,4.1062693,4.106266964,4.106274751,4.106282539,2.5,9.184,4.2,21.0,1749376052457.999,1749368852457.999,94.1,1.2,58.537,58.537,302.337,9.446,10.961,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.559Z,1749368852.559,242.9,43.0,43.0,43.0,43.5205954,43.52059454,43.520597407,43.520600274,84.6,2.0,2.7,6421.979,4.1062578,4.106255482,4.106263208,4.106270935,2.5,-8.911,4.7,20.9,1749376052559.0,1749368852559.0,89.3,-1.7,59.468,59.468,302.368,9.456,10.618,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.657Z,1749368852.657,240.1,48.7,48.7,48.7,43.5205911,43.520590159,43.520593296,43.520596433,89.4,2.9,2.9,6423.052,4.1062459,4.106243643,4.106251167,4.106258691,2.5,-28.283,5.8,20.8,1749376052657.999,1749368852657.999,95.2,1.4,62.297,62.297,302.397,9.466,9.67,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
