ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_index,maneuver_type,interval_duration,start_time,end_time,Line_R2,Line_L2,Line_C2,side_line2,total_line2,Timestamp GPS,Latitude,Longitude,Euler_X (deg),Euler_Y (deg),LoadCell_1,LoadCell_2,LoadCell_3,LoadCell_4,LoadCell_5,LoadCell_6,F_front,F_back,M_tot_X,M_tot_Y,M_front_X,M_front_Y,M_back_X,M_back_Y,P_front_X,P_front_Y,P_back_X,P_back_Y
2025-06-11 12:55:00.459000+00:00,1749646500.459,43.5,43.1,43.1,43.1,43.5130761,43.51307747,43.513072904,43.513068339,89.0,9.6,4.9,2164.576,4.0948576,4.094859392,4.094853418,4.094847445,2.5,22.549,14.5,19.1,1749653700459.0,1749646500459.0,103.5,12.1,149.492,149.492,192.992,5.346,16.456,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.9,9.6,89.0,14.5,103.5,2025-06-11 12:55:00.450000+00:00,43.5131034851074,4.09482669830322,307.5,5.4375,2135.17114686134,29864.2543404771,13987.18886861,-6386.34637301085,12434.4992284461,20918.4032292536,26966.5560846888,45986.6143559485,6762.15992963597,5177.57792342898,3809.01256951589,190.458232603936,2953.14736012008,-849.276956573048,7.06275699447122,-141.249500216254,-18.4679165550092,-64.217542462725
2025-06-11 12:55:00.556000+00:00,1749646500.556,41.6,39.4,39.4,39.4,43.5130826,43.513084012,43.513079306,43.513074599,86.7,8.7,4.7,2165.53,4.0948653,4.094867028,4.094861267,4.094855505,2.5,-19.588,13.4,19.2,1749653700556.0,1749646500556.0,100.1,9.5,151.411,151.411,193.011,5.356,16.859,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.7,8.7,86.7,13.4,100.1,2025-06-11 12:55:00.600000+00:00,43.5131149291992,4.09484338760376,306.9375,6.125,2923.81974827762,21514.5027660231,14787.3045692649,-4077.60406028616,14652.7639646731,12147.5908799613,22722.7507843482,39225.6270835657,4243.32243555443,3916.98500674438,2263.41469416452,-597.716164765812,1979.9077413899,-455.045496108441,-26.3047449861364,-99.6100655086001,-11.6007194770658,-50.4748525032355
2025-06-11 12:55:00.657000+00:00,1749646500.657,40.7,42.4,42.4,42.4,43.5130891,43.513090531,43.51308576,43.513080989,83.2,7.7,4.4,2166.488,4.0948731,4.094874798,4.094869139,4.09486348,2.5,-8.824,12.1,19.0,1749653700657.999,1749646500657.999,95.3,10.1,152.332,152.332,193.032,5.366,16.827,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.4,7.7,83.2,12.1,95.3,2025-06-11 12:55:00.650000+00:00,43.5131149291992,4.09484338760376,306.5,5.625,2850.74814135479,13460.9068116542,16041.6033452403,-2541.80839220468,13976.1809159344,9623.94671444111,21058.3192381708,32353.2582982493,2827.10473576397,2747.55774858916,1697.12283737708,-625.979067507777,1129.98189838688,-12.7329333062897,-29.7259748239124,-80.5915618517569,-0.393559535454231,-34.9263708764699
2025-06-11 12:55:00.756000+00:00,1749646500.756,41.3,51.8,51.8,51.8,43.5130954,43.513096818,43.51309209,43.513087362,77.3,7.5,4.7,2167.451,4.0948813,4.094883018,4.094877291,4.094871563,2.5,6.122,12.2,18.8,1749653700756.0,1749646500756.0,89.5,16.4,151.751,151.751,193.051,5.376,16.561,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.7,7.5,77.3,12.2,89.5,2025-06-11 12:55:00.800000+00:00,43.5131301879882,4.09486007690429,306.0625,5.5,2522.66505911459,16311.3044891393,15636.8946042611,-3830.01490848605,11796.5916119718,14285.2956473745,22251.8723508603,34470.864152515,3995.57592184019,3543.45814040834,2527.08582254256,-121.791027275961,1468.49009929763,-150.742083609261,-5.47329345394402,-113.567334141428,-4.37302885539244,-42.6009076186879
2025-06-11 12:55:00.858000+00:00,1749646500.858,43.3,49.6,49.6,49.6,43.5131022,43.513103574,43.513098994,43.513094414,69.4,8.3,4.4,2168.446,4.0948893,4.094891085,4.094885134,4.094879182,2.5,19.608,12.7,18.8,1749653700858.0,1749646500858.0,82.1,16.2,149.772,149.772,193.072,5.386,16.244,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.4,8.3,69.4,12.7,82.10000000000001,2025-06-11 12:55:00.866666667+00:00,43.5131301879882,4.09486007690429,308.9375,6.3125,2902.38300237627,25701.0354391463,14882.4012594365,-4004.45002648307,13895.3499088614,17127.9238360923,27018.8237184706,43485.8197009592,5376.02263834529,4196.60509695295,2947.96615382927,-70.0863498120926,2428.05648451601,-646.94596013536,-2.59398227481605,-109.107864374346,-14.8771706405499,-55.8355919518853
2025-06-11 12:55:00.956000+00:00,1749646500.956,40.5,41.5,41.5,41.5,43.5131091,43.513110536,43.51310575,43.513100964,69.043,7.7,5.0,2169.448,4.0948973,4.094898991,4.094893355,4.094887719,2.5,-28.571,12.7,18.8,1749653700956.0,1749646500956.0,81.334,13.7,152.591,152.591,193.091,5.396,16.69,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,5.0,7.7,69.043,12.7,81.74300000000001,2025-06-11 12:55:00.866666667+00:00,43.5131301879882,4.09486007690429,308.9375,6.3125,2902.38300237627,25701.0354391463,14882.4012594365,-4004.45002648307,13895.3499088614,17127.9238360923,27018.8237184706,43485.8197009592,5376.02263834529,4196.60509695295,2947.96615382927,-70.0863498120926,2428.05648451601,-646.94596013536,-2.59398227481605,-109.107864374346,-14.8771706405499,-55.8355919518853
2025-06-11 12:55:01.049000+00:00,1749646501.049,40.2,33.9,33.9,33.9,43.5131161,43.513117542,43.513112735,43.513107928,68.7,6.1,5.8,2170.444,4.094905,4.09490668,4.094901079,4.094895478,2.5,-3.192,11.9,18.8,1749653701049.999,1749646501049.999,80.6,12.0,152.905,152.905,193.105,5.395,16.737,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,5.8,6.1,68.7,11.9,80.6,2025-06-11 12:55:01.200000+00:00,43.5131568908691,4.09489154815673,311.1875,5.5,3058.82242815938,22362.6115783823,14177.7256148396,-3935.93822935255,12733.9565980573,15387.3845812017,24185.4029499064,39599.1596213813,4751.45707657106,4022.43876056968,2695.60353207232,-116.451930355696,2055.85354449874,-530.140850668753,-4.81496754868606,-111.455804050713,-13.3876793279851,-51.9165953054391
2025-06-11 12:55:01.156000+00:00,1749646501.156,38.5,39.2,39.2,39.2,43.5131226,43.513124078,43.513119152,43.513114227,68.6,5.4,5.8,2171.424,4.0949132,4.094914821,4.094909418,4.094904016,2.5,-16.038,11.193,18.9,1749653701156.0,1749646501156.0,81.408,12.2,154.616,154.616,193.116,5.384,17.075,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,5.4,5.8,68.6,11.2,79.8,2025-06-11 12:55:01.200000+00:00,43.5131568908691,4.09489154815673,311.1875,5.5,3058.82242815938,22362.6115783823,14177.7256148396,-3935.93822935255,12733.9565980573,15387.3845812017,24185.4029499064,39599.1596213813,4751.45707657106,4022.43876056968,2695.60353207232,-116.451930355696,2055.85354449874,-530.140850668753,-4.81496754868606,-111.455804050713,-13.3876793279851,-51.9165953054391
2025-06-11 12:55:01.260000+00:00,1749646501.26,42.5,38.5,38.5,38.5,43.5131291,43.513130492,43.513125852,43.513121212,71.7,4.7,5.8,2172.432,4.0949219,4.094923659,4.094917796,4.094911933,2.5,38.462,10.5,19.0,1749653701260.0,1749646501260.0,82.2,14.3,150.626,150.626,193.126,5.374,16.557,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.7,5.8,71.7,10.5,82.2,2025-06-11 12:55:01.250000+00:00,43.5131568908691,4.09489154815673,312.0625,5.625,3193.75193050863,19374.0163285823,15334.0250659884,-3477.14232579397,13636.3740780545,13465.7410600499,23624.9728123105,37901.7933250794,4086.73039072008,3638.05832069821,2363.53223232523,-331.218001216908,1723.19815839484,-341.070991554781,-14.0198257093577,-100.043807504135,-8.99880880647134,-45.464818606739
2025-06-11 12:55:01.357000+00:00,1749646501.357,44.7,34.7,34.7,34.7,43.5131353,43.513136642,43.513132169,43.513127695,76.0,3.8,6.4,2173.416,4.0949306,4.094932431,4.094926327,4.094920223,2.5,22.68,10.2,19.1,1749653701357.0,1749646501357.0,86.2,10.7,148.436,148.436,193.136,5.364,16.274,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,3.8,6.4,76.0,10.2,86.2,2025-06-11 12:55:01.400000+00:00,43.5131683349609,4.0949101448059,313.375,5.0,2672.66996959782,17788.4147182948,16120.3170075214,-3410.34860403872,13710.785308575,12656.0906443559,22956.5273488922,36581.4016954141,3851.09509088728,3548.82503426075,2241.26827515105,-405.425928757811,1609.82681573622,-204.6671961295,-17.6605948537497,-97.6309805524313,-5.59484291590604,-44.0067012505439
